"Name","NewName","Statue"
"IMG_20200829_101336.jpg","IMG_20200829_101336.jpg","SAME"
"IMG_20200829_101343.jpg","IMG_20200829_101343.jpg","SAME"
"IMG_20200829_153717.jpg","IMG_20200829_153717.jpg","SAME"
"IMG_20200829_175036.jpg","IMG_20200829_175036.jpg","SAME"
"IMG_20200829_175128.jpg","IMG_20200829_175128.jpg","SAME"
"IMG_20200829_175156.jpg","IMG_20200829_175156.jpg","SAME"
"IMG_20200829_180308.jpg","IMG_20200829_180308.jpg","SAME"
"IMG_20200829_180319.jpg","IMG_20200829_180319.jpg","SAME"
"IMG_20200829_180337.jpg","IMG_20200829_180337.jpg","SAME"
"IMG_20200829_180343.jpg","IMG_20200829_180343.jpg","SAME"
"IMG_20200829_180358.jpg","IMG_20200829_180358.jpg","SAME"
"IMG_20200829_180401.jpg","IMG_20200829_180401.jpg","SAME"
"IMG_20200829_180403.jpg","IMG_20200829_180403.jpg","SAME"
"IMG_20200829_180900.jpg","IMG_20200829_180900.jpg","SAME"
"IMG_20200829_181616.jpg","IMG_20200829_181616.jpg","SAME"
"IMG_20200829_181617.jpg","IMG_20200829_181617.jpg","SAME"
"IMG_20200829_181631.jpg","IMG_20200829_181631.jpg","SAME"
"IMG_20200829_183137.jpg","IMG_20200829_183137.jpg","SAME"
"IMG_20200829_183145.jpg","IMG_20200829_183145.jpg","SAME"
"IMG_20200829_184128.jpg","IMG_20200829_184128.jpg","SAME"
"IMG_20200829_184412.jpg","IMG_20200829_184412.jpg","SAME"
"IMG_20200829_184505.jpg","IMG_20200829_184505.jpg","SAME"
"IMG_20200829_184518.jpg","IMG_20200829_184518.jpg","SAME"
"IMG_20200829_190556.jpg","IMG_20200829_190556.jpg","SAME"
"IMG_20200829_190613.jpg","IMG_20200829_190613.jpg","SAME"
"IMG_20200829_190623.jpg","IMG_20200829_190623.jpg","SAME"
"IMG_20200829_190635.jpg","IMG_20200829_190635.jpg","SAME"
"IMG_20200829_191543.jpg","IMG_20200829_191543.jpg","SAME"
"IMG_20200829_191612.jpg","IMG_20200829_191612.jpg","SAME"
"IMG_20200829_191700.jpg","IMG_20200829_191700.jpg","SAME"
"IMG_20200829_191857.jpg","IMG_20200829_191857.jpg","SAME"
"IMG_20200829_191923.jpg","IMG_20200829_191923.jpg","SAME"
"IMG_20200829_192056.jpg","IMG_20200829_192056.jpg","SAME"
"IMG_20200829_192208.jpg","IMG_20200829_192208.jpg","SAME"
"IMG_20200829_192247.jpg","IMG_20200829_192247.jpg","SAME"
"IMG_20200829_192443.jpg","IMG_20200829_192443.jpg","SAME"
"IMG_20200829_192456.jpg","IMG_20200829_192456.jpg","SAME"
"IMG_20200829_192528.jpg","IMG_20200829_192528.jpg","SAME"
"IMG_20200829_210719.jpg","IMG_20200829_210719.jpg","SAME"
